"team_id","team_name","ovr","att","mid","def","budget"
2,"Aston Villa",81,82,80,80,800000
7,"Everton",78,76,77,77,700000
9,"Liverpool",85,84,84,83,4650480
10,"Manchester City",84,84,85,82,4564360
11,"Manchester United",80,82,80,80,5683920
13,"Newcastle United",81,80,84,79,900000
48,"Napoli",81,79,82,78,562575
52,"Roma",80,77,79,80,478500
66,"Olympique Lyonnais",77,76,76,76,450000
219,"Olympique de Marseille",79,80,80,79,460000
234,"Benfica",78,79,78,78,400000
236,"FC Porto",78,78,78,78,310000
240,"Atlético de Madrid",82,84,81,81,1364000
243,"Real Madrid",85,85,85,83,5813100
325,"Galatasaray",80,82,80,78,305000
326,"Fenerbahçe",78,80,78,77,292000
449,"Real Betis Balompié",79,79,78,77,180000
479,"CA Osasuna",77,81,76,76,15000
480,"Rayo Vallecano",77,80,77,76,10000
483,"Villarreal CF",79,80,79,75,400000
1337,"Germany",84,80,83,85,"-"
1369,"Argentina",83,85,83,80,"-"
1386,"Mexico",77,78,76,75,"-"
1799,"Crystal Palace",79,78,78,78,760000
1808,"Brighton & Hove Albion",78,79,79,78,785000
1824,"Eintracht Frankfurt",78,78,78,78,698810
116009,"Arsenal",84,83,84,83,129500
116012,"Manchester United",81,83,80,80,95290
116017,"Manchester City",81,84,81,79,81430
116304,"Washington Spirit",78,80,78,75,74905
116310,"Gotham FC",78,78,75,77,70930
116327,"Atlético de Madrid",78,80,76,78,77000
131682,"Lombardia FC",84,86,83,82,985000
132176,"London City Lionesses",79,72,80,76,25800
1,"Arsenal",85,84,85,85,2500000
5,"Chelsea",81,80,82,80,2340000
14,"Nottingham Forest",79,77,78,80,440000
18,"Tottenham Hotspur",81,79,79,81,2430000
21,"Bayern München",84,89,85,83,4335499
22,"Borussia Dortmund",81,81,81,82,1742700
32,"Bayer 04 Leverkusen",79,82,79,78,555720
45,"Juventus",80,81,80,80,1840000
69,"AS Monaco",78,77,78,77,500000
73,"Paris Saint-Germain",85,85,85,86,3961520
144,"Fulham",78,77,78,78,780000
237,"Sporting CP",79,78,80,77,350000
241,"FC Barcelona",85,85,86,83,4865780
448,"Athletic Club de Bilbao",80,78,81,79,285000
605,"Al Hilal",77,79,79,74,196280
1318,"England",85,85,84,82,"-"
1328,"Croatia",79,79,79,78,"-"
1331,"Denmark",78,77,79,79,"-"
1335,"France",85,87,84,85,"-"
1343,"Italy",84,82,84,84,"-"
1352,"Norway",78,80,79,75,"-"
1354,"Portugal",84,85,85,83,"-"
1362,"Spain",85,83,87,83,"-"
1363,"Sweden",78,84,77,76,"-"
1366,"Ukraine",77,79,76,76,"-"
1387,"United States",78,79,77,78,"-"
1925,"Brentford",77,79,78,77,430000
1943,"AFC Bournemouth",77,78,77,78,410000
105035,"Holland",83,82,84,84,"-"
111111,"Morocco",79,80,78,79,"-"
111205,"Classic XI",92,92,92,91,"-"
112172,"RB Leipzig",79,76,79,79,604125
113000,"Canada Women",79,79,76,79,"-"
113002,"England Women",85,87,84,84,"-"
